Major,nfemales,nmales
Anthropology,35,13
Art & Art History,62,11
Biochemistry,15,6
Biology,152,58
Business in the Liberal Arts,192,301
Chemistry,28,20
Conservation Biology,42,18
Computer Science,26,51
Economics,110,343
Economics-Mathematics,11,22
Int Economics-Spanish,10,11
English,129,48
Environmental Studies,51,35
Envir Studies-Economics,9,16
Envir Studies-Sociology,25,8
Francophone Studies,24,8
Geology,24,35
Government,124,137
Global Studies,84,23
Estudios Hispanicos,23,5
History,53,72
Mathematics,64,78
Music,10,18
Neuroscience,52,28
Performance & Comm Arts,142,64
Philosophy,15,28
Physics,4,21
Psychology,280,54
Sociology,78,28
Statistics,44,24
