Name,Nationality,Sport,Year,earnings
Ayrton Senna,Brazil,auto racing,1990,10
Buster Douglas,USA,boxing,1990,26
Mike Tyson,USA,boxing,1990,28.6
Sugar Ray Leonard,USA,boxing,1990,13
Greg Norman,Australia,golf,1990,8.5
Evander Holyfield,USA,boxing,1990,8.1
Michael Jordan,USA,basketball,1990,8.1
Arnold Palmer,USA,golf,1990,8.1
Jack Nicklaus,USA,golf,1990,8.6
Alain Prost,France,auto racing,1990,9
Evander Holyfield,USA,boxing,1991,60.5
Mike Tyson,USA,boxing,1991,31.5
Michael Jordan,USA,basketball,1991,16
George Foreman,USA,boxing,1991,14.5
Ayrton Senna,Brazil,auto racing,1991,13
Alain Prost,France,auto racing,1991,11
"Donovan ""Razor"" Ruddock",Canada,boxing,1991,10.2
Arnold Palmer,USA,golf,1991,9.3
Nigel Mansell,UK,auto racing,1991,9
Sugar Ray Leonard,USA,golf,1991,8.5
Michael Jordan,USA,basketball,1992,35.9
Evander Holyfield,USA,boxing,1992,28
Ayrton Senna,Brazil,auto racing,1992,22
Nigel Mansell,UK,auto racing,1992,14.5
Arnold Palmer,USA,golf,1992,11.1
Andre Agassi,USA,tennis,1992,11
Joe Montana,USA,nfl,1992,9.5
Sugar Ray Leonard,USA,golf,1992,9.2
Jim Courier,USA,tennis,1992,9
Monica Seles,USA,tennis,1992,8.5
Michael Jordan,USA,basketball,1993,36
Riddick Bowe,USA,boxing,1993,25
Ayrton Senna,Brazil,auto racing,1993,18.5
Alain Prost,France,auto racing,1993,16
George Foreman,USA,boxing,1993,15.8
Shaquille O'Neal,USA,nba,1993,15.2
Lennox Lewis,USA,boxing,1993,15
Cecil Fielder,USA,baseball,1993,12.7
Jim Courier,USA,tennis,1993,12.6
Joe Montana,USA,nfl,1993,11.5
Michael Jordan,USA,basketball,1994,30
Shaq O'Neal,USA,basketball,1994,16.7
Jack Nicklaus,USA,golf,1994,14.8
Arnold Palmer,USA,golf,1994,13.6
Gerhard Berger,Austria,auto racing,1994,13.5
Wayne Gretzky,Canada,ice hockey,1994,13.5
Michael Moorer,USA,boxing,1994,12.1
Evander Holyfield,USA,boxing,1994,12
Andre Agassi,USA,tennis,1994,11.4
Nigel Mansell,UK,auto racing,1994,11.3
Michael Jordan,USA,basketball,1995,43.9
Mike Tyson,USA,boxing,1995,40
Deion Sanders,USA,american football / baseball,1995,22.5
Riddick Bowe,USA,boxing,1995,22.2
Shaquille O'Neal,USA,basketball,1995,21.9
George Foreman,USA,boxing,1995,18
Andre Agassi,USA,tennis,1995,16
Sugar Ray Leonard,USA,golf,1995,15.1
Michael Schumacher,Germany,auto racing,1995,15
Wayne Gretzky,Canada,ice hockey,1995,14.5
Mike Tyson,USA,boxing,1996,75
Michael Jordan,USA,basketball,1996,52.6
Michael Schumacher,Germany,f1 motorsports,1996,33
Shaquille O'Neal,USA,basketball,1996,24.4
Emmit Smith,USA,nfl,1996,16.5
Evander Holyfield,USA,boxing,1996,15.5
Andre Agassi,USA,tennis,1996,15.2
Arnold Palmer,USA,golf,1996,15.1
Dennis Rodman,USA,basketball,1996,12.9
Patrick Ewing,USA,basketball,1996,12.9
Michael Jordan,USA,basketball,1997,78.3
Evander Holyfield,USA,boxing,1997,54.3
Oscar De La Hoya,USA,boxing,1997,38
Michael Schumacher,Germany,f1 motorsports,1997,35
Mike Tyson,USA,boxing,1997,27
Tiger Woods,USA,golf,1997,26.1
Shaquille O'Neal,USA,basketball,1997,25.4
Dale Earnhardt,USA,nascar,1997,19.1
Joe Sakic,Canada,hockey,1997,17.9
Grant Hill,USA,basketball,1997,17
Michael Jordan,USA,basketball,1998,69
Michael Schumacher,Germany,f1 motorsports,1998,38
Sergei Federov,Russia,ice hockey,1998,29.8
Tiger Woods,USA,golf,1998,26.8
Dale Earnhardt,USA,nascar,1998,24.1
Grant Hill,USA,basketball,1998,21.6
Oscar De La Hoya,USA,boxing,1998,18.5
Patrick Ewing,USA,basketball,1998,18.3
Arnold Palmer,USA,golf,1998,18.1
Gary Sheffield,USA,baseball,1998,17.2
Michael Schumacher,Germany,auto racing,1999,49
Tiger Woods,USA,golf,1999,47
Oscar De La Hoya,USA,boxing,1999,43.5
Michael Jordan,USA,basketball,1999,40
Evander Holyfield,USA,boxing,1999,35.5
Mike Tyson,USA,boxing,1999,33
Shaq O'Neal,USA,basketball,1999,31
Lennox Lewis,USA,boxing,1999,29
Dale Earnhardt,USA,auto racing,1999,26.5
Grant Hill,USA,basketball,1999,23
Michael Schumacher,Germany,auto racing,2000,59
Tiger Woods,USA,golf,2000,53
Mike Tyson,USA,boxing,2000,48
Michael Jordan,USA,basketball,2000,37
Grant Hill,USA,basketball,2000,26
Dale Earnhardt,USA,auto racing (nascar),2000,24.5
Shaq O'Neal,USA,basketball,2000,24
Lennox Lewis,USA,boxing,2000,23
Oscar De La Hoya,USA,boxing,2000,23
Kevin Garnett,USA,basketball,2000,21
Tiger Woods,USA,golf,2002,69
Michael Schumacher,Germany,f1 motorsports,2002,67
Michael Jordan,USA,basketball,2002,36
Lennox Lewis,USA,boxing,2002,28
Grant Hill,USA,basketball,2002,24
Shaquille O'Neal,USA,basketball,2002,24
Mike Tyson,USA,boxing,2002,23
Kevin Garnett,USA,basketball,2002,23
Kobe Bryant,USA,basketball,2002,22
Jacques Villeneuve,Canada,auto racing,2002,20
Jeff Gordon,USA,auto racing (nascar),2002,20
Tiger Woods,USA,golf,2003,78
Michael Schumacher,Germany,f1 motorsports,2003,75
Michael Jordan,USA,basketball,2003,35
Shaq O'Neal,USA,basketball,2003,30.5
Oscar De La Hoya,USA,boxing,2003,30
Kevin Garnett,USA,basketball,2003,28
Alex Rodriguez,USA,baseball,2003,26
Grant Hill,USA,basketball,2003,25.5
Andre Agassi,USA,tennis,2003,24
Jacques Villeneuve,Canada,auto racing,2003,23
Tiger Woods,USA,golf,2004,80.3
Michael Schumacher,Germany,f1 racing,2004,80
Peyton Manning,USA,american football,2004,42
Michael Jordan,USA,basketball,2004,35
Shaquille O'Neal,USA,basketball,2004,31.9
Kevin Garnett,USA,basketball,2004,29.7
Andre Agassi,USA,tennis,2004,28.2
David Beckham,UK,soccer,2004,28
Alex Rodriguez,USA,baseball,2004,26.2
Kobe Bryant,USA,basketball,2004,26.1
Tiger Woods,USA,golf,2005,87
Michael Schumacher,Germany,f1 racing,2005,60
Oscar De La Hoya,USA,boxing,2005,38
Michael Vick,USA,american football,2005,37.5
Shaquille O'Neal,USA,basketball,2005,33.4
Michael Jordan,USA,basketball,2005,33
David Beckham,UK,soccer,2005,32.5
Kobe Bryant,USA,basketball,2005,28.8
Lance Armstrong,USA,cycling,2005,28
Valentino Rossi,Italy,motorcycle gp,2005,28
Tiger Woods,USA,golf,2006,90
Michael Schumacher,Germany,f1 racing,2006,58
Muhammad Ali,USA,boxing,2006,55
Phil Mickelson,USA,golf,2006,47
Michael Jordan,USA,basketball,2006,32
