student_id,day,semester,late_or_not
1,W0W,Fall,not late
1,W0F,Fall,not late
1,W1M,Fall,not late
1,W1W,Fall,not late
1,W1F,Fall,not late
1,W2M,Fall,not late
1,W2W,Fall,not late
1,W2F,Fall,not late
1,W3M,Fall,not late
1,W3W,Fall,not late
1,W3F,Fall,not late
1,W4M,Fall,not late
1,W4W,Fall,late
1,W4F,Fall,not late
1,W5M,Fall,not late
1,W5F,Fall,not late
1,W6M,Fall,not late
1,W6W,Fall,not late
1,W6F,Fall,not late
1,W7M,Fall,not late
1,W7W,Fall,not late
1,W8W,Fall,not late
1,W8F,Fall,not late
1,W9M,Fall,not late
1,W9F,Fall,not late
1,W10M,Fall,not late
1,W10W,Fall,not late
1,W10F,Fall,not late
1,W11M,Fall,not late
1,W11W,Fall,not late
1,W11F,Fall,not late
1,W12M,Fall,not late
1,W12W,Fall,not late
1,W12F,Fall,not late
1,W13M,Fall,not late
1,W13W,Fall,not late
1,W14M,Fall,not late
1,W14W,Fall,not late
2,W0W,Fall,not late
2,W0F,Fall,not late
2,W1M,Fall,late
2,W1W,Fall,not late
2,W1F,Fall,not late
2,W2M,Fall,not late
2,W2W,Fall,not late
2,W2F,Fall,not late
2,W3M,Fall,not late
2,W3W,Fall,not late
2,W3F,Fall,not late
2,W4M,Fall,not late
2,W4W,Fall,not late
2,W4F,Fall,not late
2,W5M,Fall,not late
2,W5F,Fall,not late
2,W6M,Fall,not late
2,W6W,Fall,not late
2,W6F,Fall,not late
2,W7M,Fall,not late
2,W7W,Fall,not late
2,W8W,Fall,not late
2,W8F,Fall,not late
2,W9M,Fall,not late
2,W9F,Fall,late
2,W10M,Fall,not late
2,W10W,Fall,not late
2,W10F,Fall,not late
2,W11M,Fall,not late
2,W11W,Fall,not late
2,W11F,Fall,not late
2,W12M,Fall,not late
2,W12W,Fall,not late
2,W12F,Fall,not late
2,W13M,Fall,not late
2,W13W,Fall,late
2,W14M,Fall,not late
2,W14W,Fall,not late
3,W0W,Fall,not late
3,W0F,Fall,not late
3,W1M,Fall,not late
3,W1W,Fall,not late
3,W1F,Fall,not late
3,W2M,Fall,not late
3,W2W,Fall,not late
3,W2F,Fall,not late
3,W3M,Fall,not late
3,W3W,Fall,not late
3,W3F,Fall,not late
3,W4M,Fall,not late
3,W4W,Fall,not late
3,W4F,Fall,not late
3,W5M,Fall,not late
3,W5F,Fall,not late
3,W6M,Fall,not late
3,W6W,Fall,not late
3,W6F,Fall,not late
3,W7M,Fall,not late
3,W7W,Fall,not late
3,W8W,Fall,not late
3,W8F,Fall,not late
3,W9M,Fall,not late
3,W9F,Fall,not late
3,W10M,Fall,not late
3,W10W,Fall,not late
3,W10F,Fall,not late
3,W11M,Fall,not late
3,W11W,Fall,not late
3,W11F,Fall,not late
3,W12M,Fall,not late
3,W12W,Fall,not late
3,W12F,Fall,late
3,W13M,Fall,not late
3,W13W,Fall,not late
3,W14M,Fall,late
3,W14W,Fall,not late
4,W0W,Fall,not late
4,W0F,Fall,not late
4,W1M,Fall,not late
4,W1W,Fall,not late
4,W1F,Fall,not late
4,W2M,Fall,not late
4,W2W,Fall,not late
4,W2F,Fall,not late
4,W3M,Fall,not late
4,W3W,Fall,not late
4,W3F,Fall,not late
4,W4M,Fall,not late
4,W4W,Fall,not late
4,W4F,Fall,not late
4,W5M,Fall,not late
4,W5F,Fall,not late
4,W6M,Fall,not late
4,W6W,Fall,not late
4,W6F,Fall,not late
4,W7M,Fall,not late
4,W7W,Fall,not late
4,W8W,Fall,not late
4,W8F,Fall,not late
4,W9M,Fall,not late
4,W9F,Fall,not late
4,W10M,Fall,not late
4,W10W,Fall,not late
4,W10F,Fall,not late
4,W11M,Fall,not late
4,W11W,Fall,not late
4,W11F,Fall,not late
4,W12M,Fall,not late
4,W12W,Fall,not late
4,W12F,Fall,not late
4,W13M,Fall,not late
4,W13W,Fall,not late
4,W14M,Fall,not late
4,W14W,Fall,not late
5,W0W,Fall,not late
5,W0F,Fall,not late
5,W1M,Fall,late
5,W1W,Fall,not late
5,W1F,Fall,not late
5,W2M,Fall,not late
5,W2W,Fall,not late
5,W2F,Fall,not late
5,W3M,Fall,not late
5,W3W,Fall,not late
5,W3F,Fall,not late
5,W4M,Fall,not late
5,W4W,Fall,not late
5,W4F,Fall,not late
5,W5M,Fall,not late
5,W5F,Fall,not late
5,W6M,Fall,not late
5,W6W,Fall,not late
5,W6F,Fall,not late
5,W7M,Fall,not late
5,W7W,Fall,not late
5,W8W,Fall,not late
5,W8F,Fall,not late
5,W9M,Fall,not late
5,W9F,Fall,not late
5,W10M,Fall,not late
5,W10W,Fall,not late
5,W10F,Fall,not late
