medal_type,name,gender,country,event
Gold Medal,Remco EVENEPOEL,M,Belgium,Men's Individual Time Trial
Silver Medal,Filippo GANNA,M,Italy,Men's Individual Time Trial
Bronze Medal,Wout van AERT,M,Belgium,Men's Individual Time Trial
Gold Medal,Grace BROWN,W,Australia,Women's Individual Time Trial
Silver Medal,Anna HENDERSON,W,Great Britain,Women's Individual Time Trial
Bronze Medal,Chloe DYGERT,W,United States,Women's Individual Time Trial
Gold Medal,China,W,China,Women's Synchronised 3m Springboard
Silver Medal,United States,W,United States,Women's Synchronised 3m Springboard
Bronze Medal,Great Britain,W,Great Britain,Women's Synchronised 3m Springboard
Gold Medal,OH Sanguk,M,Korea,Men's Sabre Individual
Silver Medal,Fares FERJANI,M,Tunisia,Men's Sabre Individual
Bronze Medal,Luigi SAMELE,M,Italy,Men's Sabre Individual
Gold Medal,KONG Man Wai Vivian,W,"Hong Kong, China",Women's Épée Individual
Silver Medal,Auriane MALLO-BRETON,W,France,Women's Épée Individual
Bronze Medal,Eszter MUHARI,W,Hungary,Women's Épée Individual
Gold Medal,Yeldos SMETOV,M,Kazakhstan,Men -60 kg
Silver Medal,Luka MKHEIDZE,M,France,Men -60 kg
Bronze Medal,NAGAYAMA Ryuju,M,Japan,Men -60 kg
Bronze Medal,Francisco GARRIGOS,M,Spain,Men -60 kg
Gold Medal,TSUNODA Natsumi,W,Japan,Women -48 kg
Silver Medal,Baasankhuu BAVUUDORJ,W,Mongolia,Women -48 kg
Bronze Medal,Shirine BOUKLI,W,France,Women -48 kg
Bronze Medal,Tara BABULFATH,W,Sweden,Women -48 kg
Gold Medal,France,M,France,Men
Silver Medal,Fiji,M,Fiji,Men
Bronze Medal,South Africa,M,South Africa,Men
Gold Medal,China 1,X,China,10m Air Rifle Mixed Team
Silver Medal,Korea 1,X,Korea,10m Air Rifle Mixed Team
Bronze Medal,Kazakhstan 1,X,Kazakhstan,10m Air Rifle Mixed Team
Gold Medal,United States,M,United States,Men's 4 x 100m Freestyle Relay
Silver Medal,Australia,M,Australia,Men's 4 x 100m Freestyle Relay
Bronze Medal,Italy,M,Italy,Men's 4 x 100m Freestyle Relay
Gold Medal,Lukas MAERTENS,M,Germany,Men's 400m Freestyle
Silver Medal,Elijah WINNINGTON,M,Australia,Men's 400m Freestyle
Bronze Medal,KIM Woomin,M,Korea,Men's 400m Freestyle
Gold Medal,Australia,W,Australia,Women's 4 x 100m Freestyle Relay
Silver Medal,United States,W,United States,Women's 4 x 100m Freestyle Relay
Bronze Medal,China,W,China,Women's 4 x 100m Freestyle Relay
Gold Medal,Ariarne TITMUS,W,Australia,Women's 400m Freestyle
Silver Medal,Summer McINTOSH,W,Canada,Women's 400m Freestyle
Bronze Medal,Katie LEDECKY,W,United States,Women's 400m Freestyle
Gold Medal,Korea,W,Korea,Women's Team
Silver Medal,China,W,China,Women's Team
