major1,major2,major3,minor1,minor2,minor3
SOC,NA,NA,EDUCS,NA,NA
HIST,POLS,NA,NA,NA,NA
CS,NA,NA,NA,NA,NA
EN_GO,NA,NA,OUTDR,NA,NA
PCA,NA,NA,NA,NA,NA
NRSCI,NA,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
FINC,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ENVS,NA,NA,HIST,NA,NA
PSYC,NA,NA,SSES,EDUCS,NA
PSYC,REL,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
POLS,NA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
POLS,NA,NA,NA,NA,NA
EC_MA,NA,NA,OUTDR,EDUCS,NA
GS,NA,NA,AFS,NA,NA
MATH,NA,NA,NA,NA,NA
BIOL,ART,NA,NA,NA,NA
EN_MA,NA,NA,STATS,HISP,CLAS
PHYS,MATH,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
CS,NA,NA,OUTDR,NA,NA
ECON,NA,NA,PCA,SSES,NA
CHEM,NA,NA,NA,NA,NA
POLS,NA,NA,MATH,NA,NA
DATA,NA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
ENG,NA,NA,OUTDR,NA,NA
BIOL,NA,NA,NA,NA,NA
EN_BI,BUSLA,NA,NA,NA,NA
POLS,BUSLA,NA,ITAL,NA,NA
HIST,NA,NA,FRST,NA,NA
ECON,NA,NA,STATS,NA,NA
CHEM,NA,NA,NA,NA,NA
PSYC,NA,NA,AFS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,BUSLA,NA,SSES,NA,NA
ENVS,NA,NA,OUTDR,NA,NA
CONBI,NA,NA,OUTDR,NA,NA
ECON,BUSLA,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
BIOL,NA,NA,CHEM,STATS,NA
ENVS,NA,NA,AFS,STATS,NA
BIOL,NA,NA,REL,ENG,NA
BI_PH,NA,NA,DATA,NA,NA
MATH,NA,NA,PSYC,GRST,NA
SOC,NA,NA,REL,NA,NA
POLS,HIST,NA,NA,NA,NA
STAT,MATH,NA,NA,NA,NA
BIMED,NA,NA,PUB,REL,NA
MATH,BUSLA,NA,NA,NA,NA
FINC,BUSLA,NA,SSES,NA,NA
MATH,NA,NA,NA,NA,NA
CS,NA,NA,PHIL,CHEM,NA
PSYC,GS,NA,EUR,NA,NA
GOVT,FRST,NA,NA,NA,NA
PSYC,NA,NA,GRST,GNDR,NA
ECON,BUSLA,NA,NA,NA,NA
NRSCI,NA,NA,REL,EDUCS,NA
ENVS,CS,NA,NA,NA,NA
PCA,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,STATS,SSES,NA
EN_PS,NA,NA,OUTDR,NA,NA
FINC,NA,NA,NA,NA,NA
EC_MA,NA,NA,POLS,STATS,NA
MULTL,NA,NA,CHIN,ARAB,EDUCS
ENG,NA,NA,SSES,NA,NA
SOC,NA,NA,SSES,EDUCS,NA
CONBI,NA,NA,AFS,REL,NA
ECON,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
CS,BUSLA,NA,NA,NA,NA
POLS,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
EC_SP,BUSLA,NA,NA,NA,NA
SOC,BUSLA,NA,NA,NA,NA
ART,BUSLA,NA,EDUCS,NA,NA
PCA,BUSLA,NA,NA,NA,NA
BIMED,NA,NA,SSES,NA,NA
BIOL,NA,NA,PUB,SSES,NA
FINC,NA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
PSYC,NA,NA,PCA,NA,NA
AS_GO,NA,NA,GEOL,NA,NA
PSYC,PCA,NA,NA,NA,NA
BIOL,NA,NA,PUB,NA,NA
MATH,ECON,NA,NA,NA,NA
ECON,NA,NA,MATH,NA,NA
DATA,NA,NA,NA,NA,NA
CHEM,NA,NA,MATH,NA,NA
GOVT,NA,NA,DMF,NA,NA
CS,BUSLA,NA,NA,NA,NA
BIMED,NA,NA,CHEM,NA,NA
PSYC,NA,NA,SOC,EDUCS,NA
BIOL,GS,NA,NA,NA,NA
MUS,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,REL,NA,NA
EN_GO,NA,NA,NA,NA,NA
HIST,PCA,NA,NA,NA,NA
FINC,NA,NA,NA,NA,NA
MATH,NA,NA,EUR,CS,NA
FINC,NA,NA,NA,NA,NA
PHIL,NA,NA,OUTDR,NA,NA
PHCH,BIOL,NA,NA,NA,NA
FINC,BUSLA,NA,GS,NA,NA
FINC,BUSLA,NA,NA,NA,NA
PSYC,PCA,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
EN_GO,NA,NA,ECON,AFS,NA
ANTH,PCA,NA,NA,NA,NA
BIMED,NA,NA,EDUCS,NA,NA
PCA,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
NRSCI,NA,NA,NA,NA,NA
ECON,NA,NA,ANTH,NA,NA
PSYC,NA,NA,SSES,NA,NA
FINC,BUSLA,NA,STATS,NA,NA
ART,DMF,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
CS,NA,NA,NA,NA,NA
BIMED,NA,NA,CHEM,NA,NA
ECON,NA,NA,NA,NA,NA
ENVS,NA,NA,OUTDR,NA,NA
ENG,ART,NA,NA,NA,NA
GEOL,ENG,NA,NA,NA,NA
EN_GO,NA,NA,EUR,SOC,NA
STAT,ECON,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
EN_SO,NA,NA,AFS,NA,NA
POLS,NA,NA,AS,CHIN,NA
PSYC,NA,NA,BIOL,NA,NA
GEOL,NA,NA,NA,NA,NA
PHYS,NA,NA,MATH,NA,NA
BIOL,NA,NA,SOC,NA,NA
PSYC,DATA,NA,NA,NA,NA
CHEM,NA,NA,PUB,MATH,NA
EN_PH,NA,NA,OUTDR,NA,NA
PSYC,NA,NA,ART,PUB,NA
SOC,NA,NA,GS,NA,NA
STAT,HIST,NA,NA,NA,NA
PSYC,NA,NA,STATS,MATH,AFS
MATH,NA,NA,CS,NA,NA
FINC,NA,NA,NA,NA,NA
PSYC,NA,NA,CHIN,AS,NA
PSYC,NA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
GOVT,ENG,NA,NA,GNDR,NA
GOVT,NA,NA,EDUCS,ENG,NA
CS,MUS,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
EN_BI,NA,NA,AFS,NA,STATS
MATH,ECON,STAT,NA,NA,NA
ENG,NA,NA,ART,NA,NA
PHYS,NA,NA,CS,NA,NA
GS,HISP,NA,CLAS,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
SOC,BUSLA,NA,NA,NA,NA
BIMED,NA,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
BIMED,NA,NA,NA,NA,NA
ENG,HISP,NA,CLAS,NA,NA
PSYC,POLS,NA,SSES,NA,NA
ENG,NA,NA,EDUCS,NA,NA
EC_FR,BUSLA,NA,SSES,NA,NA
ENVS,ART,NA,NA,NA,NA
PHIL,SOC,NA,NA,NA,NA
CS,MATH,NA,NA,NA,NA
ART,NA,NA,PCA,NA,NA
FINC,NA,NA,NA,NA,NA
ANTH,HIST,NA,AS,NA,REL
BIMED,NA,NA,PUB,NA,NA
GOVT,NA,NA,PHIL,NA,NA
EN_PS,NA,NA,OUTDR,ENG,EDUCS
CS,STAT,NA,MATH,NA,NA
ECON,CS,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
STAT,NA,NA,MATH,BIOL,NA
SOC,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,GNDR,NA,NA
FINC,NA,NA,STATS,NA,NA
ANTH,NA,NA,PUB,NA,NA
ECON,NA,NA,NA,NA,NA
ENG,NA,NA,NA,NA,NA
ART,NA,NA,EDUCS,NA,NA
GOVT,HIST,NA,EUR,NA,NA
SOC,BUSLA,NA,OUTDR,NA,NA
ECON,NA,NA,NA,NA,NA
HIST,NA,NA,CHIN,AS,EDUCS
CS,MATH,NA,NA,NA,NA
PHIL,BUSLA,NA,NA,NA,NA
STAT,NA,NA,ECON,SSES,NA
MATH,NA,NA,ECON,STATS,NA
ECON,NA,NA,NA,NA,NA
ANTH,NA,NA,FRST,GNDR,NA
